date;time;user;nice;system;idle;iowait;irq;softirq
2023-10-25;14:40:33;0.2;0.0;0.2;95.0;0.0;0.0;4.5
2023-10-25;14:40:34;0.8;0.0;0.2;92.0;0.0;0.0;7.0
2023-10-25;14:40:35;6.8;0.0;5.0;77.0;0.0;0.0;11.2
2023-10-25;14:40:36;0.2;0.0;1.0;95.0;0.2;0.0;3.5
2023-10-25;14:40:37;0.2;0.0;0.5;93.8;0.0;0.0;5.5
2023-10-25;14:40:38;0.2;0.0;0.8;95.0;0.0;0.0;4.0
2023-10-25;14:40:39;0.5;0.0;0.2;93.8;0.0;0.0;5.5
2023-10-25;14:40:40;0.0;0.0;0.0;96.2;0.0;0.0;3.8
2023-10-25;14:40:41;0.8;0.5;2.0;93.0;0.0;0.0;3.8
2023-10-25;14:40:42;0.0;0.0;0.0;95.8;0.0;0.0;4.2
2023-10-25;14:40:43;0.5;0.0;0.5;94.8;0.0;0.0;4.2
2023-10-25;14:40:44;0.2;0.0;0.2;96.0;0.0;0.0;3.5
2023-10-25;14:40:45;0.2;0.0;0.0;96.2;0.0;0.0;3.5
2023-10-25;14:40:46;2.0;0.0;4.0;91.2;0.5;0.0;2.2
2023-10-25;14:40:47;0.0;0.0;0.2;95.8;0.0;0.0;4.0
2023-10-25;14:40:48;0.0;0.0;0.0;94.0;0.0;0.0;6.0
2023-10-25;14:40:49;0.2;0.0;0.2;95.8;0.0;0.0;3.8
2023-10-25;14:40:50;0.2;0.0;0.2;96.0;0.0;0.0;3.5
2023-10-25;14:40:51;0.0;0.0;0.2;94.8;0.2;0.0;4.8
2023-10-25;14:40:52;0.2;0.0;0.2;97.8;0.0;0.0;1.8
2023-10-25;14:40:53;0.0;0.0;0.0;96.2;0.0;0.0;3.8
2023-10-25;14:40:54;0.0;0.0;0.0;96.2;0.0;0.0;3.8
2023-10-25;14:40:55;0.5;0.0;0.2;96.8;0.0;0.0;2.5
2023-10-25;14:40:56;0.7;1.2;1.5;93.3;0.0;0.0;3.2
2023-10-25;14:40:57;0.0;0.0;0.2;96.8;0.0;0.0;3.0
2023-10-25;14:40:58;0.2;0.0;0.2;97.0;0.0;0.0;2.5
2023-10-25;14:40:59;0.2;0.0;0.2;97.2;0.0;0.0;2.2
2023-10-25;14:41:00;0.5;0.0;0.2;97.2;0.0;0.0;2.0
2023-10-25;14:41:01;0.5;0.0;1.8;95.2;0.0;0.0;2.5
